coverage_95_mean,coverage_95_std,dataset,gaussian_nll_mean,gaussian_nll_std,mae_mean,mae_std,mask,model,nrmse_mean,nrmse_std,observed_rmse_mean,observed_rmse_std,parameters,ratio,relative_l2_mean,relative_l2_std,rmse_mean,rmse_std,seeds,uncertainty_error_spearman_mean,uncertainty_error_spearman_std
0.5813125371932983,0.031167249910557655,active_matter,8.133821964263916,2.53569111636604,0.002797037518272797,9.557901167606055e-05,random,bayesian_spectral_tensor,1.5671449899673462,0.08646401573882911,0.002105503692291677,0.00027985613944241577,384,0.005,0.005292295943945646,0.00029364736250779826,0.005292382246504228,0.00029365861237649286,3,0.36036866903305054,0.043888288131122416
,,active_matter,,,0.0016725763368109863,6.0401140495598404e-05,random,cp,1.086055080095927,0.019560329011184856,7.093672077947606e-05,8.2746937982903e-06,1360,0.005,0.0036675649074216685,6.480169706833836e-05,0.003667641586313645,6.480121734141597e-05,3,,
,,active_matter,,,0.0016943597001954913,6.471739058267193e-05,random,geo_nft,1.233675758043925,0.051573488448267014,0.000207611417863518,2.0638809892889523e-05,6155,0.005,0.004166033118963242,0.0001725663416767263,0.004166134322683017,0.0001725634974017522,3,,
,,active_matter,,,0.0028319573029875755,0.000322063099560587,random,inr,1.29616912206014,0.09843163786995837,1.3710370616593082e-09,1.1873529249269326e-09,8641,0.005,0.004377068641285102,0.00033054429267634133,0.0043771240549782915,0.000330547875349162,3,,
,,active_matter,,,0.0017940049292519689,7.334467003333034e-05,random,neural_cp,1.661477526028951,0.16644214387575648,0.0006476266426034272,0.00012541106504694992,14432,0.005,0.00561049518485864,0.0005597105842658447,0.005610727239400148,0.0005597163128600567,3,,
,,active_matter,,,0.0009034542987744013,0.00018772096257385748,random,spectral_cp,0.6755083401997884,0.18083689401060546,0.00045840805978514254,2.6620736472679204e-05,496,0.005,0.002281086907411615,0.0006102806671477095,0.0022811408077056208,0.0006103023793423744,3,,
0.7151237726211548,0.024068046512294675,active_matter,7.522746562957764,1.2209148026160814,0.0018383005711560447,9.433820624649832e-05,random,bayesian_spectral_tensor,1.1916170517603557,0.05495684112546229,0.0028323501658936343,4.974321777487563e-05,384,0.01,0.004023570567369461,0.00018592348581761617,0.00402364251203835,0.00018592500601328596,3,0.23315141101678213,0.01402757155406875
,,active_matter,,,0.0016069639241322875,3.1032227341549845e-05,random,cp,1.1183719237645466,0.03171269933868215,0.00029585775337181985,1.0212456793508031e-05,1360,0.01,0.0037762020559360585,0.00010642585306935021,0.0037762989134838185,0.00010642152582791656,3,,
,,active_matter,,,0.0007846740578922132,7.362963642478174e-05,random,geo_nft,0.5947688817977905,0.07588274771168567,0.0003412593505345285,1.7143293128473112e-05,6155,0.01,0.0020082667469978333,0.00025628878262462106,0.0020083108295996985,0.0002562846067913476,3,,
,,active_matter,,,0.0025820272664229074,0.00024575224391096436,random,inr,1.169009526570638,0.066360261620855,1.1152220554440836e-08,7.1755562983641544e-09,8641,0.01,0.00394722578736643,0.00022359928365285674,0.003947278251871467,0.00022360630599645715,3,,
,,active_matter,,,0.001139250157090525,0.0002945012187240358,random,neural_cp,1.054557780424754,0.3597368537664159,0.0006683979881927371,8.873003743737785e-05,14432,0.01,0.003560614616920551,0.0012142704395934642,0.003560721486185988,0.0012143183721148505,3,,
,,active_matter,,,0.0006162472030458351,1.6160519794639542e-05,random,spectral_cp,0.41607577602068585,0.03420278396371182,0.0005739295544723669,3.4022381076164704e-05,496,0.01,0.0014049125214417775,0.00011569586648264493,0.0014049385596687596,0.00011569958723551066,3,,
0.8376614252726237,0.006838693484731448,active_matter,7.9292863210042315,0.7525683446535935,0.0012523843130717676,4.3340669833302935e-05,random,bayesian_spectral_tensor,1.0135974884033203,0.006901072487810554,0.003228086202094952,8.01104420531831e-05,384,0.05,0.003422025047863523,2.6420880456681424e-05,0.0034220941985646882,2.642446800046491e-05,3,0.13698452214399973,0.004249109850201724
,,active_matter,,,0.0008778794241758684,0.0003246105698874614,random,cp,0.6871077219645182,0.36500594259943314,0.0016182672309999664,0.0008923114838909503,1360,0.05,0.002319924533367157,0.0012321668973014083,0.002319987902107338,0.0012322039856582268,3,,
,,active_matter,,,0.000276504559830452,3.7859392662505493e-06,random,geo_nft,0.12178501238425572,0.0029345703425871336,0.00047010244452394545,1.1726549320253089e-05,6155,0.05,0.00041116742067970335,1.0224694437524067e-05,0.0004111722713181128,1.0225395608448455e-05,3,,
,,active_matter,,,0.0011627047788351774,0.00015180711225564746,random,inr,0.5600817998250326,0.05040114236576702,7.305535109480843e-05,5.798017703922147e-06,8641,0.05,0.0018907767565300067,0.00016808452741520858,0.0018908015917986631,0.00016808273563061497,3,,
,,active_matter,,,0.0009789087149935465,0.00017867985576021006,random,neural_cp,0.8209424813588461,0.16739409728246962,0.0023161467785636583,0.0006405438763256388,14432,0.05,0.0027715498581528664,0.0005646331685591903,0.0027716231221954026,0.0005646471214599639,3,,
,,active_matter,,,0.00043881057839219767,1.7140240263328586e-05,random,spectral_cp,0.24518016477425894,0.004941952415791788,0.0008106263121590018,1.3405168548703233e-05,496,0.05,0.0008277530044627687,1.6266521557133395e-05,0.0008277648206179341,1.626598246697651e-05,3,,
0.6745409369468689,0.012203298161385264,realpde_cylinder,-1.3462908267974854,0.1366232598604247,0.005610224635650714,0.00012659200757865645,random,bayesian_spectral_tensor,0.622832715511322,0.0135296515584411,0.005249761665860812,0.00019358147115277878,384,0.01,0.06385014951229095,0.0013664118228987304,0.0080424714833498,0.00017228734770658477,3,0.07985314975182216,0.01810592621035857
,,realpde_cylinder,,,0.011278201515475908,0.0006926060713359357,random,cp,1.2845287720362346,0.058685118204156235,0.0007122731185518205,2.3578393629605358e-05,1160,0.01,0.1316832353671392,0.005957382048945591,0.01658663402001063,0.000750932702365982,3,,
,,realpde_cylinder,,,0.0062422788081069784,0.0008709284060173603,random,geo_nft,0.842755933602651,0.12844983270509447,0.0009768920135684311,2.7720140449186012e-05,5435,0.01,0.0863925963640213,0.013134062403409094,0.01088191568851471,0.00165465396741352,3,,
,,realpde_cylinder,,,0.006631428686281045,0.0003791518005285924,random,inr,0.7297199567159017,0.03428744827633944,4.667741304587025e-09,6.181847843454267e-10,8641,0.01,0.07480862985054652,0.003530123106455133,0.009422776910165945,0.0004445336175582331,3,,
,,realpde_cylinder,,,0.0036502644264449677,0.00013990763390919764,random,neural_cp,0.48674239714940387,0.013303171066726504,0.004234528324256341,2.9786163115642262e-05,14432,0.01,0.04989918569723765,0.0013757490073067068,0.006285225817312797,0.00017314870151198536,3,,
,,realpde_cylinder,,,0.004198622268935044,9.962465245080495e-05,random,spectral_cp,0.5313045382499695,0.013362331077499031,0.0044132449353734655,0.00031154572777987357,416,0.01,0.05446703111131986,0.0013521728442560544,0.006860587435464065,0.0001704694766034729,3,,
0.7077350417772929,0.0010977733511878009,realpde_cylinder,-1.5150404771169026,0.09901093615911016,0.004277077658722798,8.968762362180435e-06,random,bayesian_spectral_tensor,0.5023995439211527,0.0006946592948452388,0.006077420897781849,9.045386065285687e-05,384,0.05,0.05151541034380595,5.75084573521356e-05,0.00648833562930425,6.836537093886875e-06,3,-0.11859158178170522,0.014247264340318528
,,realpde_cylinder,,,0.0038301024275521436,0.00028327520791757003,random,cp,0.46494831641515094,0.019783773169346635,0.005385653426249822,0.00030660317601764666,1160,0.05,0.047676059106985726,0.002058814139642965,0.006004781772692998,0.0002596274036916651,3,,
,,realpde_cylinder,,,0.002902005954335133,0.0001449956363927007,random,geo_nft,0.37877028187115985,0.02491646321588235,0.003537872883801659,0.0001588878557761415,5435,0.05,0.03883984684944153,0.0025829599357647336,0.004891856883962949,0.00032529500604333887,3,,
,,realpde_cylinder,,,0.004680718450496594,0.000150464900640411,random,inr,0.5299347440401713,0.01636881558700084,4.608558469954005e-06,6.033542415393751e-06,8641,0.05,0.05433811619877815,0.0016426863205430083,0.006843857932835817,0.00020703827141782048,3,,
,,realpde_cylinder,,,0.0031337149751683078,3.098582486354831e-05,random,neural_cp,0.415229598681132,0.0019580938307345954,0.0051955605546633405,7.304732312181287e-05,14432,0.05,0.04257705559333166,0.00019031504381195654,0.005362559109926224,2.3616589290244256e-05,3,,
,,realpde_cylinder,,,0.0035039708018302917,2.5266997368136567e-05,random,spectral_cp,0.4496877094109853,0.001002667272825317,0.005552064161747694,7.911843936904642e-05,416,0.05,0.046110354363918304,7.458736576818177e-05,0.005807575769722462,9.593573697585141e-06,3,,
0.8456266721089681,0.009000010180644677,synthetic_boundary,1.021594484647115,0.18687669200880347,0.15726043283939362,0.011435800328535636,periodic_gap,bayesian_spectral_tensor,0.49041200677553815,0.029330183492073756,0.12647753208875656,0.013414219351980505,168,0.05,0.28812454144159955,0.01765835619442402,0.22484595080216727,0.013601638527244851,3,0.22472410400708517,0.020340996222864553
,,synthetic_boundary,,,0.12496956437826157,0.013440603770278012,periodic_gap,geo_nft,0.4782964587211609,0.07182556699164631,0.02115003454188506,0.0003133719981759901,1378,0.05,0.28102955718835193,0.042562852777465764,0.2192977915207545,0.03304617084117315,3,,
,,synthetic_boundary,,,0.21263232827186584,0.017348838188615667,periodic_gap,inr,0.7120484312375387,0.03665594487226059,7.498757999731727e-08,3.122392815804242e-09,8577,0.05,0.41829121112823486,0.020861261915458583,0.32644494374593097,0.01655284986302777,3,,
,,synthetic_boundary,,,0.12787002821763357,0.007779298254600402,periodic_gap,neural_cp,0.38654013474782306,0.03001169951374808,0.08971088876326878,0.007474322121696532,2508,0.05,0.22707224388917288,0.017413411290928014,0.1772071123123169,0.013564760193637717,3,,
,,synthetic_boundary,,,0.1986000488201777,0.019850807134995818,periodic_gap,spectral_cp,0.5960097710291544,0.06496403753550095,0.1732193281253179,0.010481623310802726,120,0.05,0.35013025005658466,0.03795927332699886,0.27325792113939923,0.02982918439167477,3,,
,,synthetic_boundary,,,0.18919073045253754,0.014947073601780523,periodic_gap,wrong_spectral_cp,0.6299389998118082,0.05937899414537109,0.11788519968589146,0.012348117236352913,148,0.05,0.37008867661158246,0.03510114067567924,0.28882522384325665,0.02748433874717497,3,,
0.8868171374003092,0.05604541563040571,synthetic_boundary,1.7726452549298604,1.0123327906441655,0.293582816918691,0.025281842434964404,random,bayesian_spectral_tensor,0.7978865305582682,0.0862531485043583,0.10955662466585636,0.07640483459893699,168,0.005,0.4690588215986888,0.0512262169622732,0.3633314371109009,0.03950818108035583,3,0.021424592783053715,0.07968061135587752
,,synthetic_boundary,,,0.39039549231529236,0.011532895428464274,random,cp,1.0366774797439575,0.040928202125611365,0.0060008736327290535,0.0009023125727653269,516,0.005,0.6093727747599283,0.02349783280942101,0.4720405439535777,0.018408591733825332,3,,
,,synthetic_boundary,,,0.383631428082784,0.032576570908676904,random,geo_nft,1.0766236384709675,0.0976640863616987,0.0023898605334882936,0.0007502239652559633,1378,0.005,0.6328977346420288,0.05785849151448963,0.4902468224366506,0.04463962908028621,3,,
,,synthetic_boundary,,,0.35218073924382526,0.0620644203225709,random,inr,0.994363029797872,0.1975499912999411,4.9261604573302975e-08,1.0288896522698827e-08,8577,0.005,0.5844224492708842,0.11539200385195741,0.4527379771073659,0.08962983419462171,3,,
,,synthetic_boundary,,,0.3958931863307953,0.07823604949374804,random,neural_cp,1.1364285548528035,0.18566864641960723,0.00783544716735681,0.008523281393335417,2508,0.005,0.6680809656778971,0.1096013784615106,0.5174898008505503,0.0847157093958484,3,,
,,synthetic_boundary,,,0.34290135900179547,0.09689347195982159,random,spectral_cp,0.9558594028155009,0.29513805018221945,0.13279496878385544,0.03817244920388545,120,0.005,0.5620124638080597,0.17415793615472144,0.43530837694803876,0.13470976118870465,3,,
,,synthetic_boundary,,,0.3495925764242808,0.02334223863669475,random,wrong_spectral_cp,1.0098176002502441,0.0474859664455446,0.019285794347524643,0.0027290206947399183,148,0.005,0.5936092933019003,0.028291901923333404,0.4598219692707062,0.021827716775880784,3,,
0.8966707785924276,0.012929964383716054,synthetic_boundary,1.4893842935562134,0.4180565546700895,0.2693432966868083,0.030384776840358396,random,bayesian_spectral_tensor,0.7938782572746277,0.09437348583201095,0.12350958337386449,0.05995741318511761,168,0.01,0.46678004662195843,0.05594311108792361,0.36129597822825116,0.043245191143062155,3,0.06185999512672424,0.07013194233577041
,,synthetic_boundary,,,0.38688047726949054,0.005769276980684914,random,cp,1.031821330388387,0.01782986052203979,0.008301989175379276,0.000858031487425035,516,0.01,0.6066364447275797,0.010732004026811294,0.46955015261967975,0.007973000675470595,3,,
